Unternehmen,Ticker,Gewichtung_pct
Simon Property Group Inc.,SPG,0.116413
Ecolab Inc.,ECL,0.113682
Eog Resources Inc.,EOG,0.111749
General Motors Co.,GM,0.111421
Norfolk Southern Corp.,NSC,0.111213
Slb Ltd.,SLB,0.111175
United Rentals Inc.,URI,0.111142
Aon PLC Class A,AON,0.111079
Illinois Tool Works,ITW,0.110901
Intercontinental Exchange In,ICE,0.110828
Nxp Semiconductors Nv,NXPI,0.110678
Fedex Corp.,FDX,0.110625
Travelers Cos Inc.,TRV,0.110134
Doordash Inc. A,DASH,0.109620
Phillips 66,PSX,0.108882
Monster Beverage Corp.,MNST,0.108814
Ross Stores Inc.,ROST,0.108706
Teradyne Inc.,TER,0.108164
Ciena Corp.,CIEN,0.107032
Moody S Corp.,MCO,0.106970
Motorola Solutions Inc.,MSI,0.105782
Northrop Grumman Corp.,NOC,0.105608
Warner Bros Discovery Inc.,WBD,0.104855
Boston Scientific Corp.,BSX,0.104014
Comfort Systems Usa Inc.,FIX,0.103034
Kinder Morgan Inc.,KMI,0.102813
Monolithic Power Systems Inc.,MPWR,0.102023
Digital Realty Trust Inc.,DLR,0.100860
Target Corp.,TGT,0.100701
Lumentum Holdings Inc.,LITE,0.100557
Paccar Inc.,PCAR,0.100489
Regeneron Pharmaceuticals,REGN,0.100066
Truist Financial Corp.,TFC,0.099527
Kkr + Co. Inc.,KKR,0.098593
Air Products + Chemicals Inc.,APD,0.097905
Allstate Corp.,ALL,0.097586
Sempra,SRE,0.097502
Dominion Energy Inc.,D,0.096557
Airbnb Inc. Class A,ABNB,0.096248
Hca Healthcare Inc.,HCA,0.096234
Delta Air Lines Inc.,DAL,0.095607
Realty Income Corp.,O,0.093123
Ww Grainger Inc.,GWW,0.093002
Targa Resources Corp.,TRGP,0.092570
Cintas Corp.,CTAS,0.092264
Arthur J Gallagher + Co.,AJG,0.091869
Hewlett Packard Enterprise,HPE,0.091732
Te Connectivity PLC,TEL,0.091321
Carrier Global Corp.,CARR,0.090901
Keysight Technologies In,KEYS,0.088968
Oneok Inc.,OKE,0.088936
Baker Hughes Co.,BKR,0.088793
Cardinal Health Inc.,CAH,0.088171
Cencora Inc.,COR,0.088088
Ford Motor Co.,F,0.087499
Corteva Inc.,CTVA,0.087430
Aflac Inc.,AFL,0.087077
Nucor Corp.,NUE,0.086402
Apollo Global Management Inc.,APO,0.086316
Ametek Inc.,AME,0.086141
L3harris Technologies Inc.,LHX,0.085849
Fastenal Co.,FAST,0.085552
Flex Ltd.,FLEX,0.085338
Entergy Corp.,ETR,0.083969
Rockwell Automation Inc.,ROK,0.083922
Edwards Lifesciences Corp.,EW,0.082706
Vistra Corp.,VST,0.081993
Autozone Inc.,AZO,0.081528
Xcel Energy Inc.,XEL,0.081222
Public Storage,PSA,0.081103
Fifth Third Bancorp,FITB,0.080552
Nike Inc. Cl B,NKE,0.077336
Devon Energy Corp.,DVN,0.076775
Exelon Corp.,EXC,0.076736
Ebay Inc.,EBAY,0.075774
Microchip Technology Inc.,MCHP,0.075287
State Street Corp.,STT,0.073608
Metlife Inc.,MET,0.073498
Electronic Arts Inc.,EA,0.073148
Humana Inc.,HUM,0.072934
Wabtec Corp.,WAB,0.072348
Keurig Dr Pepper Inc.,KDP,0.071899
Carvana Co.,CVNA,0.070661
United Airlines Holdings Inc.,UAL,0.069896
Dr Horton Inc.,DHI,0.069391
Idexx Laboratories Inc.,IDXX,0.068848
Ventas Inc.,VTR,0.068501
Republic Services Inc.,RSG,0.068469
Yum Brands Inc.,YUM,0.068213
Becton Dickinson And Co.,BDX,0.067979
Chipotle Mexican Grill Inc.,CMG,0.067663
Public Service Enterprise Gp,PEG,0.065900
Block Inc.,XYZ,0.065896
Take Two Interactive Softwre,TTWO,0.065696
Autodesk Inc.,ADSK,0.065558
Consolidated Edison Inc.,ED,0.065346
Ameriprise Financial Inc.,AMP,0.064401
Vulcan Materials Co.,VMC,0.063913
Msci Inc.,MSCI,0.063899
Cbre Group Inc. A,CBRE,0.063660
American International Group,AIG,0.063393
Old Dominion Freight Line,ODFL,0.063351
Interactive Brokers Gro Cl A,IBKR,0.063307
